model,train_RMSE,validate_RMSE
train_mean,0.05549246973,0.05475500967
train_median,0.05549275682,0.05475430782
linear_regression_ols,0.05527017103,0.05448125446
lasso_lars,0.05549246973,0.05475500967
polynomial_regression,0.05513813834,0.05448943368
least_angle_lars,0.05527017103,0.05448125446
coordinate_descent_lasso,0.05549246973,0.05475500967
least_angle_LassoLarsCV,0.05527253765,0.05447766445
least_angle_LassoLarsIC,0.05527178082,0.05447751057
ridge_regressor,0.05527017471,0.05448111507
sgd_regressor,0.05529505566,0.05449250123
ard_regressor,0.05537279161,0.05455086185
bayesian_ridge,0.05527236126,0.05448033966
huber_regressor,0.05528539097,0.05451356633
passive_aggressive_regressor,0.07416105647,0.07347385106
decision_tree_regressor,0.05526069292,0.05455575226
